datetime,high
2019-03-04,3806.9
2019-03-05,3877.1
2019-03-06,3895.12
2019-03-07,3891.04
2019-03-08,3924.37
2019-03-09,3950.25
2019-03-10,3916.43
2019-03-11,3912.89
2019-03-12,3877.69
2019-03-13,3874.68
2019-03-14,3903.98
2019-03-15,3912.06
2019-03-16,4040.0
2019-03-17,3992.42
2019-03-18,4016.63
2019-03-19,4012.63
2019-03-20,4050.0
2019-03-21,4055.35
2019-03-22,4000.81
2019-03-23,4001.17
2019-03-24,3982.52
2019-03-25,3980.22
2019-03-26,3936.36
2019-03-27,4037.11
2019-03-28,4025.56
2019-03-29,4102.57
2019-03-30,4130.36
2019-03-31,4101.7
2019-04-01,4150.0
2019-04-02,5080.0
2019-04-03,5345.0
2019-04-04,5077.35
2019-04-05,5067.62
2019-04-06,5240.0
2019-04-07,5253.49
2019-04-08,5347.37
2019-04-09,5288.95
2019-04-10,5466.06
2019-04-11,5344.31
2019-04-12,5122.48
2019-04-13,5122.01
2019-04-14,5185.26
2019-04-15,5192.01
2019-04-16,5231.96
2019-04-17,5275.07
2019-04-18,5325.0
2019-04-19,5357.96
2019-04-20,5362.97
2019-04-21,5346.91
2019-04-22,5439.12
2019-04-23,5627.0
2019-04-24,5623.3
2019-04-25,5510.0
2019-04-26,5291.48
2019-04-27,5218.31
2019-04-28,5213.23
2019-04-29,5191.96
2019-04-30,5287.4
2019-05-01,5357.96
2019-05-02,5422.94
2019-05-03,5796.56
2019-05-04,5846.13
2019-05-05,5782.55
2019-05-06,5755.79
2019-05-07,5970.0
2019-05-08,5986.0
2019-05-09,6172.0
2019-05-10,6426.8
2019-05-11,7445.0
2019-05-12,7585.0
2019-05-13,8167.5
2019-05-14,8335.56
2019-05-15,8300.0
2019-05-16,8390.95
2019-05-17,7942.09
2019-05-18,7493.85
2019-05-19,8299.99
2019-05-20,8200.0
2019-05-21,8117.48
2019-05-22,8049.22
2019-05-23,7980.0
2019-05-24,8188.87
2019-05-25,8158.45
2019-05-26,8802.29
2019-05-27,8939.18
2019-05-28,8817.41
2019-05-29,8762.39
2019-05-30,9096.79
2019-05-31,8589.99
2019-06-01,8624.72
2019-06-02,8833.97
2019-06-03,8745.96
2019-06-04,8103.64
2019-06-05,7924.48
2019-06-06,7878.62
2019-06-07,8134.99
2019-06-08,8061.12
2019-06-09,7966.58
2019-06-10,8090.0
2019-06-11,8057.32
2019-06-12,8266.0
2019-06-13,8335.56
2019-06-14,8737.37
2019-06-15,8911.98
2019-06-16,9391.85
2019-06-17,9477.7
2019-06-18,9361.87
2019-06-19,9325.85
2019-06-20,9600.0
2019-06-21,10229.49
2019-06-22,11200.0
2019-06-23,11247.62
2019-06-24,11099.0
2019-06-25,11796.37
2019-06-26,13880.0
2019-06-27,13355.61
2019-06-28,12447.46
2019-06-29,12386.76
2019-06-30,12200.06
2019-07-01,11200.41
2019-07-02,10942.63
2019-07-03,12009.0
2019-07-04,12061.04
2019-07-05,11440.0
2019-07-06,11735.0
2019-07-07,11627.0
2019-07-08,12398.0
2019-07-09,12883.48
2019-07-10,13200.0
2019-07-11,12104.97
2019-07-12,11942.39
2019-07-13,11846.61
2019-07-14,11467.3
2019-07-15,11080.37
2019-07-16,11042.11
2019-07-17,9993.0
2019-07-18,10797.0
2019-07-19,10776.99
2019-07-20,11120.0
2019-07-21,10839.09
2019-07-22,10686.89
2019-07-23,10328.83
2019-07-24,9911.5
2019-07-25,10187.0
2019-07-26,9897.46
2019-07-27,10235.0
2019-07-28,9634.5
2019-07-29,9725.17
2019-07-30,9775.0
2019-07-31,10143.2
2019-08-01,10499.0
2019-08-02,10670.0
2019-08-03,10919.0
2019-08-04,11085.99
2019-08-05,11959.36
2019-08-06,12325.0
2019-08-07,12145.42
2019-08-08,12061.1
2019-08-09,12040.0
2019-08-10,11976.68
2019-08-11,11589.73
2019-08-12,11551.57
2019-08-13,11446.94
2019-08-14,10862.28
2019-08-15,10444.66
2019-08-16,10540.0
2019-08-17,10472.93
2019-08-18,10515.0
2019-08-19,10940.0
2019-08-20,10955.48
2019-08-21,10807.54
2019-08-22,10238.29
2019-08-23,10479.0
2019-08-24,10432.0
2019-08-25,10355.89
2019-08-26,10650.0
2019-08-27,10375.53
